geo_id_ct,muni_nei,fips,total_pop,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Black,Indigenous/Native American,Asian,Native Hawaiian/Pacific Islander,White,Two or More Races,households,Family Households,Nonfamily Households,Households with Children,Households with No Children,over_25_dem,Less than High School,High School Degree or Equivalent,Some College,Bachelor's Degree,Master's Degree,Doctoral/Professional Degree,civ_lf_denom,Employed,Unemployed,hhincome,Owner-Occupied Housing Units,Renter-Occupied Housing Units,workers_16up_denom,Public Transportation,Bicycle,Walking,No Vehicle,One Vehicle,Two or More Vehicles
409,South Oakland (Pittsburgh),42003040900,3577,56.22,43.78,3.41,2.12,2.26,0.22,53.59,15.82,3.72,4.98,6.77,4.33,1.45,1.31,15.49,0.28,5.42,0,70.87,6.07,1507,17.45,82.55,9.69,90.31,1373,6.41,25.49,21.41,20.03,19.88,6.78,1882,89.74,10.26,22648,24.09,75.91,1635,15.96,4.04,29.72,26.94,52.49,20.57
4090,Pine Township,42003409000,13118,50.94,49.06,6.59,7.6,9.22,6.02,4.89,10.96,13.67,19.55,12.4,4.86,2.65,1.59,0.96,0,4.95,0,92.78,0.72,4530,80.75,19.25,45.47,54.53,8615,0,8.01,14.83,40.15,24.47,12.53,6803,96.93,3.07,153302,82.03,17.97,6542,1.9,0,2.2,1.55,15.21,83.24
4100,Bradford Woods,42003410000,1225,49.8,50.2,4.82,4.49,7.27,5.47,4.9,5.96,12.82,15.02,17.39,14.12,6.29,1.47,0.33,0,3.59,0,95.43,0.65,486,75.31,24.69,32.72,67.28,895,1.68,9.83,22.79,39.78,15.75,10.17,600,98.33,1.67,114063,95.27,4.73,586,1.71,0,0,4.32,24.49,71.2
4110,Marshall,42003411000,9053,51.34,48.66,4.5,10.62,9.34,4.21,5.81,7.79,13.58,16.77,15.21,8.16,2.85,1.17,1.94,0,10.26,0,86.09,1.1,3190,79.69,20.31,38.24,61.76,5932,2.11,11.99,15.53,34.73,19.98,15.68,4953,95.7,4.3,135208,89.28,10.72,4711,2.1,1.53,0.23,0.82,17.9,81.27
4120.01,Franklin Park,42003412001,9464,52.02,47.98,6.71,9.12,8.7,4.84,1.91,7.27,16.46,17.85,12.94,9.11,2.9,2.2,3.78,0.43,15.26,0,76.04,2.76,3486,79.06,20.94,44.35,55.65,6504,1.68,12.92,14.04,36.02,22.85,12.5,4836,96.13,3.87,121343,85.8,14.2,4565,1.45,0,0.33,5.51,17.93,76.57
4120.02,Franklin Park,42003412002,5125,50.34,49.66,3.45,7.3,8.51,6.61,5.23,6.85,13.95,16.35,16.41,8.53,5.27,1.54,0.35,0.21,7.28,0,90.17,1.33,1874,80.68,19.32,38.26,61.74,3531,1.98,8.81,16.79,36.51,20.53,15.38,2799,95.93,4.07,152262,96.96,3.04,2651,0.34,0,0,0.53,13.66,85.81
4131,McCandless Twp,42003413100,6391,48.99,51.01,4.82,3.76,6.96,5.16,4.26,7.56,14.13,15.01,17.96,12.31,4.77,3.3,1.61,0.22,11.13,0,81.29,5.76,2604,68.13,31.87,26.84,73.16,4796,3.4,12.34,20.25,33.24,20.18,10.59,3251,97.05,2.95,106389,75.35,24.65,3155,4.85,0,0.35,0.96,31.45,67.58
4132.01,McCandless Twp,42003413201,3699,51.39,48.61,5.43,4.27,5.35,4,7.73,15.68,10.19,13.63,15.65,8.73,6.43,2.89,1.08,0,3.24,0,93.76,1.65,1559,63.25,36.75,30.72,69.28,2708,1,20.09,26.33,33.23,16.88,2.47,1963,99.18,0.82,86331,80.44,19.56,1947,7.14,0,1.54,2.25,34.89,62.86
4132.02,McCandless Twp,42003413202,2760,45.25,54.75,6.16,6.81,5.29,4.6,5.54,9.67,10.91,13.55,18.3,12.07,3.95,3.15,0,0,3.19,0,95.18,1.63,1183,63.14,36.86,27.13,72.87,1976,0.46,21.41,27.83,30.77,12.85,6.68,1408,95.24,4.76,84077,84.87,15.13,1283,0.55,0,0.62,6.76,31.87,61.37
4133,McCandless Twp,42003413300,4286,48.69,51.31,4.85,4.18,5.46,4.13,5.3,11.57,9.64,12.46,16.94,14.07,6.72,4.69,2.71,0,2.92,0,92.93,1.19,1802,65.98,34.02,26.03,73.97,3261,3.65,23.06,23,29.59,16.93,3.77,2352,96.6,3.4,81353,94.78,5.22,2277,2.15,0,0.53,4.83,30.08,65.09
4134,McCandless Twp,42003413400,4526,46.05,53.95,6.52,6.45,6.98,4.53,3.69,9.19,14.1,11.47,15.84,11.47,6.41,3.36,0.51,0,5.24,0,93.92,0.33,1723,79.22,20.78,31.98,68.02,3251,2.18,19.04,20.49,29.19,20.82,8.27,2093,96.85,3.15,100804,88.97,11.03,2032,2.61,0,0.1,3.89,28.5,67.62
4135,McCandless Twp,42003413500,6809,50.82,49.18,5.48,2.38,3.88,2.66,16.35,17.12,11.03,11.18,10.77,7.56,6.96,4.64,6.55,0,7.77,0.1,83.3,1.59,3012,52.19,47.81,19.19,80.81,4716,3.69,18.81,19.8,32.68,18.81,6.21,4144,96.11,3.89,69889,49.87,50.13,3945,1.93,0,2.03,10.62,39.84,49.54
4141.01,Hampton Twp,42003414101,5120,50.14,49.86,8.11,4.86,6.54,4.79,6.89,6.74,12.83,15.53,17.3,10,5.35,1.05,2.23,0,1.37,0,96.13,0.23,1913,78.83,21.17,35.28,64.72,3523,0.17,23.02,20.83,31.39,18.22,6.36,2803,97.75,2.25,103819,96.76,3.24,2729,1.91,0,0.99,1.52,22.58,75.9
4141.02,Hampton Twp,42003414102,7351,50.02,49.98,5.62,4.26,7.55,4.22,6.15,9.63,13.13,14.91,12,10.11,8.22,4.22,1.93,0,7.4,0,88.86,1.81,3067,64.07,35.93,30.03,69.97,5308,3.35,20.29,20.06,31.24,15.43,9.63,3892,98.1,1.9,84625,74.24,25.76,3803,2.84,0,1,11.02,29.96,59.02
4142,Hampton Twp,42003414200,5811,47.86,52.14,8.12,6.14,4.54,5.11,3.92,8.88,10.94,12.2,16.86,14.59,6.18,2.5,2.08,0,0.93,0,95.97,1.02,2291,73.51,26.49,26.28,73.72,4193,3.03,19.48,26.88,28.43,15.19,6.99,2862,93.12,6.88,85703,86.64,13.36,2637,0,0,2.24,2.14,27.89,69.97
4150.01,Indiana Twp,42003415001,4516,50.16,49.84,4.81,7.75,7.26,3.39,5.78,10.76,10.94,17.23,16.32,9.41,4.41,1.95,2.06,0,4.47,0,92.16,1.22,1632,79.9,20.1,37.25,62.75,3207,2.84,28.38,20.61,29.93,10.23,8.01,2479,97.14,2.86,101136,86.58,13.42,2347,1.92,0,1.96,2.02,19.18,78.8
4150.02,Indiana Twp,42003415002,2673,50.39,49.61,4.49,8.64,5.05,3.48,4.83,9.99,10.96,14.63,16.87,13.8,4.9,2.36,0.45,0.19,4.23,0,90.57,2.81,1013,75.91,24.09,34.25,65.75,1965,3.16,18.98,23.1,24.78,17.81,12.17,1348,97.03,2.97,107132,90.13,9.87,1266,0.39,0,0,2.27,22.8,74.92
4160,Springdale Twp,42003416000,1574,48.48,51.52,2.16,3.62,3.43,1.33,5.65,13.41,6.99,13.09,20.58,19.12,7.81,2.8,0,0.38,0.38,0,98.09,0.25,846,49.05,50.95,11.82,88.18,1319,5.76,38.29,37.23,12.51,5.46,0.76,821,97.44,2.56,49886,82.62,17.38,772,0.65,0,2.33,6.03,50.12,43.85
4171,Springdale Borough,42003417100,2041,46.84,53.16,8.13,4.31,2.69,3.72,4.56,15.83,12.84,13.18,15.92,10.09,5.19,3.53,0,0,0.29,0,95.54,4.16,942,61.68,38.32,21.44,78.56,1563,4.93,36.15,31.16,19.19,5.31,3.27,1098,95.9,4.1,59194,75.27,24.73,1047,3.63,0,0.86,5.41,40.87,53.71
4172,Springdale Borough,42003417200,1285,47.32,52.68,5.37,5.06,4.12,3.97,7.32,13.93,8.64,13.85,17.12,11.83,5.68,3.11,0.54,0,0,0,99.46,0,656,43.45,56.55,18.29,81.71,953,5.88,42.71,33.26,12.49,5.67,0,768,89.58,10.42,43864,41.01,58.99,681,5.58,0,4.55,19.21,42.07,38.72
4180,Cheswick,42003418000,1697,47.5,52.5,2.59,3.36,4.42,3.83,3.48,13.79,7.31,17.86,16.09,15.97,6.6,4.71,0.06,0,0.29,0,99.41,0.24,820,60.24,39.76,15,85,1397,1.57,30.99,27.63,24.55,11.67,3.58,958,94.68,5.32,62500,83.54,16.46,884,5.32,0,2.04,8.66,37.2,54.15
4190,Harmar Twp,42003419000,3032,45.18,54.82,5.61,0.73,3.69,1.85,3.73,8.38,8.87,11.38,18.4,19.2,12.07,6.1,1.19,0.3,0.3,0,98.22,0,1506,51.73,48.27,16.47,83.53,2559,6.21,28.6,31.81,18.84,8.75,5.78,1457,98.76,1.24,57260,65.47,34.53,1439,2.29,0,4.38,9.96,44.36,45.69
4200,Blawnox,42003420000,1606,49.81,50.19,5.48,8.09,5.11,0.87,3.24,15.44,14.2,10.15,14.88,10.59,7.29,4.67,10.46,0,14.26,0,66.75,6.54,862,44.32,55.68,23.55,76.45,1240,11.29,30.24,24.27,21.61,5.97,6.61,847,96.46,3.54,39091,36.66,63.34,817,6.73,0,11.63,19.72,51.28,29
4211,O'Hara Twp,42003421100,4615,50.21,49.79,5.11,5.68,8.15,3.25,3.84,6.37,13.3,13.37,14,13.2,7.76,5.98,0.76,0.13,12.81,0,85.05,1.26,1936,64.26,35.74,26.86,73.14,3414,3.31,14.67,16.29,24.02,20.97,20.74,2253,98.45,1.55,97000,74.38,25.62,2147,2.52,0,1.21,7.85,27.22,64.92
4212,O'Hara Twp,42003421200,4277,49.82,50.18,4.26,5.85,6.55,4.58,4.33,9.07,11.62,13.68,17.37,12.25,8.25,2.2,0.72,0,6.31,0,91.63,1.33,1745,72.66,27.34,29.97,70.03,3184,1.79,17.96,21.89,26.82,16.55,14.98,2283,98.73,1.27,96886,94.27,5.73,2212,1.72,0,1.27,2.18,32.78,65.04
4220,Fox Chapel,42003422000,5121,48.7,51.3,3.2,6.21,11.4,7.64,3.75,3.5,8.73,18.69,17.36,10.94,7.24,1.35,0,0,5.72,0,90.84,1.25,1797,88.59,11.41,40.46,59.54,3472,1.07,5.56,9.74,26.56,22.64,34.45,2460,97.24,2.76,205987,96.16,3.84,2322,0.56,0,0.86,1.5,7.29,91.21
4230,Aspinwall,42003423000,2724,44.97,55.03,9.73,5.36,7.78,1.58,3.19,15.6,14.83,13.03,13.14,10.39,3.49,1.87,1.36,0,9.65,0,87.89,0.88,1202,62.4,37.6,30.45,69.55,1971,3.45,10.86,13.39,35.41,20.8,16.08,1499,94.66,5.34,84375,67.14,32.86,1386,8.59,0.43,2.6,1.91,50.42,47.68
4240,Sharpsburg,42003424000,3358,47.59,52.41,5.33,1.85,5.09,4.11,10.01,16.23,11.91,13.28,20.43,5.87,4.23,1.67,8.4,0,1.67,0,87.49,2.44,1645,50.7,49.3,20.67,79.33,2472,10.56,42.07,24.64,16.67,5.62,0.44,1755,87.64,12.36,36360,41.34,58.66,1480,7.3,1.15,7.5,25.47,48.88,25.65
4250,Etna,42003425000,3350,53.31,46.69,8.63,4.72,6.69,0.51,9.82,20.15,8.6,11.28,16.09,10.75,1.55,1.22,0.63,0,4.72,0,92.75,1.91,1486,51.68,48.32,24.09,75.91,2333,4.71,34.12,30.99,21.47,7.46,1.24,1830,95.85,4.15,49432,63.32,36.68,1740,7.36,0,4.48,10.43,44.82,44.75
4263,Shaler Twp,42003426300,5970,49.77,50.23,6.1,4.25,5.03,3.75,4,13.32,11.27,13.55,15.41,12.38,7.55,3.38,0.23,0,0.17,0.23,97.32,2.04,2526,71.46,28.54,25.61,74.39,4589,1.63,26.72,25.1,28.52,13.36,4.66,3352,97.73,2.27,82569,97.19,2.81,3247,3.94,0,0.71,1.86,36.26,61.88
4264,Shaler Twp,42003426400,4061,45.8,54.2,5.52,4.01,2.68,0.76,6.4,20.49,10,12.61,15.14,12.73,6.7,2.95,0.39,0,1.5,0,96.58,1.53,1970,55.18,44.82,18.98,81.02,3274,2.2,25.14,30.88,24.92,15.21,1.65,2750,95.56,4.44,73471,79.09,20.91,2540,1.42,0.67,1.3,1.98,41.07,56.96
4267,Shaler Twp,42003426700,2301,48.76,51.24,3.87,4.65,1.3,3.09,5.52,15.47,13.47,11.73,17.43,12.3,6.87,4.3,0,0,1.65,0,97.78,0.56,1137,50.4,49.6,18.12,81.88,1877,8.58,26.64,33.3,22.48,8.31,0.69,1295,98.92,1.08,62583,75.81,24.19,1281,1.8,0,1.41,1.85,38.87,59.28
4268,Shaler Twp,42003426800,5453,49.79,50.21,6.66,3.58,4.36,4.25,4.38,9.85,11.22,16.32,16.12,11.3,9.48,2.48,2.71,0.33,0,0,95.05,1.91,2155,72.48,27.52,28.17,71.83,4186,2.87,33.47,26.13,22.81,10.58,4.13,2939,95.68,4.32,84201,97.03,2.97,2727,0.44,0,0,0,31.04,68.96
