business_status,formatted_address,name,price_level,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,lat,lng,census_code
OPERATIONAL,"200 Tabor St, Pittsburgh, PA 15204","Saving Others Under Love, LLC",NA,0,"['point_of_interest', 'establishment']",0,40.4626646,-80.05283299999999,40.46390602989272,-80.05141887010726,40.46120637010728,-80.0541185298927,40.4626646,-80.052833,420035625001
OPERATIONAL,"2623 Penn Ave, Pittsburgh, PA 15222",Savoy Restaurant,2,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",316,40.45548100000001,-79.978015,40.45675687989272,-79.97658277010729,40.45405722010728,-79.97928242989272,40.455481,-79.978015,420030203001
OPERATIONAL,"500 Grant St #2900, Pittsburgh, PA 15219",Scales Family Law Practice,NA,0,"['lawyer', 'point_of_interest', 'establishment']",0,40.4396782,-79.99593159999999,40.44112147989272,-79.99482872010726,40.43842182010728,-79.99752837989271,40.4396782,-79.9959316,420030201004
OPERATIONAL,"807 Chartiers Ave, McKees Rocks, PA 15136",Shadedbythequeen,NA,0,"['point_of_interest', 'store', 'establishment']",0,40.4656077,-80.0646004,40.46706927989271,-80.06322857010727,40.46436962010727,-80.06592822989272,40.4656077,-80.0646004,420034644003
OPERATIONAL,"1849 Montier St, Pittsburgh, PA 15221",Shawna Solomon Collection,NA,5,"['shoe_store', 'point_of_interest', 'clothing_store', 'store', 'establishment']",4,40.4489844,-79.8678118,40.45033422989273,-79.86646197010728,40.44763457010729,-79.86916162989272,40.4489844,-79.8678118,420035614003
OPERATIONAL,"183 Wylie Ave, Strabane, PA 15363",Shoe Patio Bar,NA,5,"['bar', 'point_of_interest', 'establishment']",2,40.2519993,-80.19839929999999,40.25329032989272,-80.19702312010727,40.25059067010728,-80.19972277989271,40.2519993,-80.1983993,421257451012
OPERATIONAL,"6800 Frankstown Ave #1370, Pittsburgh, PA 15208",Showcase Barbeque,1,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",1060,40.4581375,-79.9059829,40.45956122989272,-79.90461167010729,40.45686157010728,-79.90731132989272,40.4581375,-79.9059829,420031307003
OPERATIONAL,"8500 Frankstown Rd, Pittsburgh, PA 15235",Simmie's Restaurant,2,4.2,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",260,40.4581002,-79.8755027,40.45953117989272,-79.87424687010729,40.45683152010727,-79.87694652989273,40.4581002,-79.8755027,420031306001
OPERATIONAL,"100 Fifth Ave, Pittsburgh, PA 15222",Yerimah's Sisters Beauty Supply,NA,4.6,"['point_of_interest', 'store', 'establishment']",76,40.44144,-80.0027028,40.44286062989273,-80.00129202010727,40.44016097010728,-80.0039916798927,40.44144,-80.0027028,420030201003
OPERATIONAL,"748 E Warrington Ave, Pittsburgh, PA 15210",Slayd Apparel,NA,0,"['point_of_interest', 'clothing_store', 'store', 'establishment']",0,40.4216827,-79.9939334,40.42308737989272,-79.99258537010728,40.42038772010728,-79.99528502989273,40.4216827,-79.9939334,420031803002
